dataset,selector,objective,run,solution_type,thresholds,acc,rec,prec,f1,ddp,deo
adult,topsis,deo_kl,12,post,"[0.08995597809553146, 0.1925821304321289]",0.8339951029051684,0.40534045393858475,0.8435676576826896,0.547569663630625,0.10096710749650473,0.029782262161064443
adult,topsis,deo_kl,12,baseline,,0.8486863873999073,0.6026702269692924,0.7386679757813779,0.6637747224468789,0.1732941584483545,0.05800129425380729
adult,topsis,deo_kl,13,post,"[0.3364410698413849, 0.3768330514431]",0.847528290649196,0.5734312416555407,0.7524526979677646,0.6508561903318685,0.16140325325063212,0.0501664767899791
adult,topsis,deo_kl,13,baseline,,0.8486863873999073,0.6026702269692924,0.7386679757813779,0.6637747224468789,0.1732941584483545,0.05800129425380729
adult,topsis,deo_kl,14,post,"[0.12337878346443176, 0.6443430185317993]",0.8011713321421481,0.21415220293724965,0.9287782281412854,0.348052511663231,0.045649155070524604,0.0002972597795922183
adult,topsis,deo_kl,14,baseline,,0.8486863873999073,0.6026702269692924,0.7386679757813779,0.6637747224468789,0.1732941584483545,0.05800129425380729
adult,topsis,deo_kl,15,post,"[0.12067542225122452, 0.30582791566848755]",0.8283038845873867,0.3646194926568758,0.8639670990192977,0.5128156980565205,0.08811653449413505,0.02541952943013237
adult,topsis,deo_kl,15,baseline,,0.8486863873999073,0.6026702269692924,0.7386679757813779,0.6637747224468789,0.1732941584483545,0.05800129425380729
adult,topsis,deo_kl,16,post,"[0.08649074286222458, 0.09720109403133392]",0.847528290649196,0.5728971962616822,0.7528070175438597,0.6506444275966642,0.16101138452665467,0.0495397140196876
adult,topsis,deo_kl,16,baseline,,0.8486863873999073,0.6026702269692924,0.7386679757813779,0.6637747224468789,0.1732941584483545,0.05800129425380729
adult,topsis,deo_kl,17,post,"[0.1941000074148178, 0.3216446340084076]",0.8416385414598637,0.47303070761014687,0.8085349155636695,0.596866576819407,0.12241468273010767,0.03190154620339014
adult,topsis,deo_kl,17,baseline,,0.8486863873999073,0.6026702269692924,0.7386679757813779,0.6637747224468789,0.1732941584483545,0.05800129425380729
adult,topsis,deo_kl,18,post,"[0.11250985413789749, 0.2403092384338379]",0.8339620144265767,0.405607476635514,0.8429522752497225,0.5476834324860285,0.10121202544899066,0.030095643546210138
adult,topsis,deo_kl,18,baseline,,0.8486863873999073,0.6026702269692924,0.7386679757813779,0.6637747224468789,0.1732941584483545,0.05800129425380729
adult,topsis,deo_kl,19,post,"[0.12683530151844025, 0.6634225249290466]",0.8011713321421481,0.21401869158878506,0.9292753623188406,0.3479110146500271,0.04570213946208106,0.0011997868554044777
adult,topsis,deo_kl,19,baseline,,0.8486863873999073,0.6026702269692924,0.7386679757813779,0.6637747224468789,0.1732941584483545,0.05800129425380729
adult,topsis,ddp + deo,0,post,"[0.10681796073913574, 0.36406219005584717]",0.8173846866521077,0.29572763684913217,0.9007726718178121,0.4452708814956277,0.06656093763193185,0.010238633702414346
adult,topsis,ddp + deo,0,baseline,,0.8486863873999073,0.6026702269692924,0.7386679757813779,0.6637747224468789,0.1732941584483545,0.05800129425380729
adult,topsis,ddp + deo,1,post,"[0.12433402985334396, 0.6493725776672363]",0.8011713321421481,0.21415220293724965,0.9287782281412854,0.348052511663231,0.045649155070524604,0.0002972597795922183
adult,topsis,ddp + deo,1,baseline,,0.8486863873999073,0.6026702269692924,0.7386679757813779,0.6637747224468789,0.1732941584483545,0.05800129425380729
adult,topsis,ddp + deo,2,post,"[0.13599582016468048, 1.0738651752471924]",0.7912447885646218,0.16622162883845126,0.9511077158135982,0.28298670303443574,0.03513681803105595,0.0012430606387323628
adult,topsis,ddp + deo,2,baseline,,0.8486863873999073,0.6026702269692924,0.7386679757813779,0.6637747224468789,0.1732941584483545,0.05800129425380729
